Epoch,Training Loss,Validation Loss,Validation IoU
1,1.9986904303232829,1.3134654998779296,0.6975758241848682
2,1.2832196394602458,1.0385993480682374,0.7542751464029448
3,0.9972697059313457,0.9727674007415772,0.8016558104042094
4,0.8614615559577942,0.9238128781318664,0.8085255464257269
5,0.7662306706110636,0.8717711806297302,0.8213922127272861
6,0.7136062582333883,0.8276697754859924,0.8300871729984955
7,0.6539774537086487,0.8036769032478333,0.838303901488389
8,0.6062727371851603,0.7617925047874451,0.8406183081225279
9,0.5555836836496989,0.734617805480957,0.8410835064022086
10,0.5302963892618815,0.7267281889915467,0.8342618270193671
11,0.5044472912947336,0.7090156555175782,0.8402384024626505
12,0.4751410106817881,0.6894662797451019,0.8406203410317022
13,0.45563566088676455,0.6834794759750367,0.8417804456026593
14,0.44149958292643227,0.6807825088500976,0.8289858478279319
15,0.43218616843223573,0.6863178730010986,0.8335673224763163
16,0.4086239675680796,0.6589768886566162,0.8393019354717511
17,0.39615901311238605,0.6556880354881287,0.8370241903234659
18,0.3896791199843089,0.6524068593978882,0.83426315280732
19,0.3731231311957041,0.6321437120437622,0.8372377491424686
20,0.3622293730576833,0.6491154432296753,0.8337368936479358
21,0.35594322681427004,0.6290584325790405,0.838585223743476
22,0.3462132175763448,0.634656572341919,0.839364415804831
23,0.33821701208750404,0.6374473512172699,0.8346630220738328
24,0.33335936069488525,0.7278140425682068,0.8286783833215339
25,0.3334555447101593,0.6267538070678711,0.8338702939043655
26,0.33016298214594525,0.6239026606082916,0.8311390767739331
27,0.32445684472719827,0.6253057479858398,0.8371290484193363
28,0.32629548708597816,0.6263985991477966,0.8375141364036806
29,0.321113791068395,0.645270836353302,0.826261316929549
30,0.3101016829411189,0.6287550687789917,0.8404704730667248
31,0.30231306155522664,0.6024460077285767,0.840692817589462
32,0.2995439936717351,0.6148707866668701,0.8393130840034259
33,0.2936815818150838,0.6222855746746063,0.8339504966541735
34,0.28902223507563274,0.6146355092525482,0.8428107751730105
35,0.28447337448596954,0.6223777890205383,0.8457594205699694
36,0.279157363375028,0.6151319682598114,0.8452418395512336
37,0.27783640623092654,0.6091083645820617,0.8480551801260237
38,0.2729952315489451,0.6078310370445251,0.8466696398554541
39,0.27153381804625193,0.6295026063919067,0.8454260287017806
40,0.26753482818603513,0.6239867687225342,0.8437359490207225
41,0.2650974839925766,0.6264331638813019,0.8443094663962167
42,0.2640627900759379,0.6201443493366241,0.8467586196860252
43,0.2609611411889394,0.6183479964733124,0.8437835333494338
44,0.2579806099335353,0.6221407353878021,0.8457738094812219
45,0.2571734329064687,0.6180235087871552,0.8472629973425502
46,0.25411829849084216,0.613960075378418,0.84075026066384
47,0.25389000177383425,0.6613362550735473,0.8405093097866484
48,0.2501765261093775,0.6186506748199463,0.8485568879729227
49,0.24778107504049937,0.6290878474712371,0.8460774370721615
50,0.2472702145576477,0.6201671481132507,0.8434322168039227
